,Depreciation%
381,-0.125
382,-0.19075144508670516
383,-0.2338795488401788
384,-0.303030303030303
385,-0.19354838709677424
386,-0.2857142857142857
387,-0.24
388,-0.3178717598908595
389,-0.2564102564102564
390,-0.24444444444444446
391,-0.4664888296098699
392,-0.16643512086690748
393,-0.6162790697674418
394,-0.6036363636363636
395,-0.4998749687421855
396,-0.523076923076923
397,-0.23913043478260865
398,-0.10531858873091104
399,-0.2857142857142857
400,-0.4996150885296382
401,-0.18107370336669704
402,-0.368421052631579
403,-0.5427918274039149
404,-0.2894736842105263
405,-0.29032258064516125
406,-0.22178988326848248
407,-0.47043248014121797
408,-0.11117287381878826
409,-0.12727272727272732
410,-0.2282456140350877
411,-0.09999999999999998
412,-0.1500227307167753
413,-0.38414164742109314
414,-0.6109670248240089
415,-0.0925622840516458
416,-0.10259040779687101
417,-0.21417345335047866
418,-0.3749218652331542
419,-0.35948759007205766
420,-0.25898480918858835
421,-0.28213689482470783
422,-0.33333333333333337
423,-0.09216802585013084
424,-0.2998833138856476
425,-0.23636363636363633
426,-0.47771974663851535
427,-0.47771974663851535
428,-0.45833333333333337
429,-0.3570510072867552
430,-0.2142857142857143
431,-0.29166666666666663
432,-0.34615384615384615
433,-0.3868989996773152
434,-0.29370217775161855
435,-0.09756097560975607
436,-0.25806451612903225
437,-0.365234375
438,-0.3913043478260869
439,-0.5427264932837954
440,-0.357429718875502
441,-0.29370217775161855
442,-0.7555555555555555
443,-0.5555555555555556
444,-0.1546153846153846
445,-0.200033338889815
446,-0.30200000000000005
447,-0.36
448,-0.14901000204123294
449,-0.15002055076037812
450,-0.15001685582649738
451,-0.1539645881447267
452,-0.15002586652871186
453,-0.2692307692307693
454,-0.44285714285714284
455,-0.4746815454258343
456,-0.6363636363636364
457,-0.41666666666666663
458,-0.41287210260030593
459,-0.375
460,-0.2564811159363074
461,-0.19999999999999996
462,-0.4571428571428572
463,-0.15000000000000002
464,-0.20011117287381874
465,-0.30434782608695654
466,-0.5483142442329407
467,-0.10348395998620219
468,-0.11542901115813775
469,-0.37766830870279144
470,-0.352865042946229
471,-0.352865042946229
472,-0.13461538461538458
473,-0.575
474,-0.25
475,-0.22480620155038755
476,-0.125
477,-0.6406076324564653
478,-0.5952380952380952
479,-0.15000000000000002
480,-0.30645161290322576
481,-0.2999299929992999
482,-0.19354838709677424
483,-0.5123780945236309
484,-0.33333333333333337
485,-0.24984371744113354
486,-0.31673987310883356
487,-0.5333333333333333
488,-0.17212832011038293
489,-0.44010000000000005
490,-0.06451612903225812
491,-0.3214285714285714
