PrixOrigine,Marque,Categorie,FlagElectrique,EtatVeloLabel,Depreciation%,DepreciationEUR,Anciennete
1299.0,Scott,Cross-country,0,Comme Neuf,-0.1539645881447267,-200.0,0.3041095890410959
5799.0,Cannondale,Cross-country,0,Comme Neuf,-0.15002586652871186,-870.0,0.3041095890410959
5200.0,Scott,Trail / Enduro,0,Bon État,-0.2692307692307693,-1400.0,1.3041095890410959
7000.0,Specialized,Cross-country,0,Usé,-0.44285714285714284,-3100.0,1.3041095890410959
9499.0,Trek,Cross-country,0,Bon État,-0.4746815454258343,-4509.0,2.304109589041096
4400.0,Trek,Cross-country,0,Bon État,-0.6363636363636364,-2800.0,4.306849315068493
6000.0,Scott,Trail / Enduro,0,Très Bon État,-0.41666666666666663,-2500.0,2.304109589041096
8499.0,BMC,Cross-country,0,Très Bon État,-0.41287210260030593,-3509.0,0.3041095890410959
4000.0,Canyon,Cross-country,0,Bon État,-0.375,-1500.0,3.3068493150684932
7599.0,Orbea,Cross-country,0,Comme Neuf,-0.2564811159363074,-1949.0,0.3041095890410959
1500.0,Giant,Cross-country,0,Comme Neuf,-0.19999999999999996,-300.0,1.3041095890410959
7000.0,Scott,Cross-country,0,Bon État,-0.4571428571428572,-3200.0,1.3041095890410959
10000.0,Scott,Cross-country,0,Bon État,-0.15000000000000002,-1500.0,0.3041095890410959
1799.0,BMC,Cross-country,0,Comme Neuf,-0.20011117287381874,-360.0,0.3041095890410959
1150.0,Scott,Cross-country,0,Bon État,-0.30434782608695654,-350.0,1.3041095890410959
6199.0,Lapierre,Cross-country,0,Bon État,-0.5483142442329407,-3399.0,2.304109589041096
2899.0,Scott,Trail / Enduro,0,Comme Neuf,-0.10348395998620219,-300.0,0.3041095890410959
2599.0,Scott,Trail / Enduro,0,Comme Neuf,-0.11542901115813775,-300.0,0.3041095890410959
6090.0,Canyon,Cross-country,0,Bon État,-0.37766830870279144,-2300.0,3.3068493150684932
8499.0,BMC,Cross-country,0,Bon État,-0.352865042946229,-2999.0,0.3041095890410959
8499.0,BMC,Cross-country,0,Bon État,-0.352865042946229,-2999.0,0.3041095890410959
5200.0,Scott,Trail / Enduro,0,Très Bon État,-0.13461538461538458,-700.0,0.3041095890410959
8000.0,Orbea,Cross-country,0,Bon État,-0.575,-4600.0,2.304109589041096
6000.0,Orbea,Cross-country,0,Très Bon État,-0.25,-1500.0,0.3041095890410959
3999.0,Trek,Cross-country,0,Bon État,-0.22480620155038755,-899.0,2.304109589041096
5200.0,Scott,Cross-country,0,Bon État,-0.125,-650.0,0.3041095890410959
2699.0,Scott,Trail / Enduro,0,Comme Neuf,-0.6406076324564653,-1729.0,3.3068493150684932
4200.0,Orbea,Cross-country,0,Usé,-0.5952380952380952,-2500.0,6.306849315068493
1000.0,Scott,Cross-country,0,Très Bon État,-0.15000000000000002,-150.0,2.304109589041096
6200.0,Canyon,Cross-country,0,Très Bon État,-0.30645161290322576,-1900.0,1.3041095890410959
9999.0,BMC,Cross-country,0,Bon État,-0.2999299929992999,-2999.0,0.3041095890410959
5890.0,Cannondale,Cross-country,0,Comme Neuf,-0.19354838709677424,-1140.0,0.3041095890410959
3999.0,Lapierre,Cross-country,0,Usé,-0.5123780945236309,-2049.0,2.304109589041096
4500.0,Giant,Trail / Enduro,0,Très Bon État,-0.33333333333333337,-1500.0,1.3041095890410959
4799.0,Cannondale,Cross-country,0,Bon État,-0.24984371744113354,-1199.0,0.3041095890410959
2049.0,Trek,Cross-country,0,Bon État,-0.31673987310883356,-649.0,1.3041095890410959
1500.0,Lapierre,Trail / Enduro,0,Usé,-0.5333333333333333,-800.0,2.304109589041096
2899.0,Canyon,Cross-country,0,Comme Neuf,-0.17212832011038293,-499.0,0.3041095890410959
10000.0,Scott,Cross-country,0,Bon État,-0.44010000000000005,-4401.0,4.306849315068493
3100.0,Canyon,Cross-country,0,Bon État,-0.06451612903225812,-200.0,0.3041095890410959
2800.0,Canyon,Cross-country,0,Bon État,-0.3214285714285714,-900.0,1.3041095890410959
4700.0,Canyon,Cross-country,0,Bon État,-0.19148936170212771,-900.0,0.3041095890410959
2799.0,Orbea,Cross-country,0,Comme Neuf,-0.20007145409074667,-560.0,1.3041095890410959
4300.0,Cannondale,Cross-country,0,Bon État,-0.6046511627906976,-2600.0,4.306849315068493
4999.0,Orbea,Cross-country,0,Comme Neuf,-0.1398279655931186,-699.0,0.3041095890410959
5200.0,Scott,Trail / Enduro,0,Comme Neuf,-0.07692307692307687,-400.0,0.3041095890410959
6999.0,Scott,Cross-country,0,Bon État,-0.3570510072867552,-2499.0,1.3041095890410959
9000.0,Specialized,Cross-country,0,Bon État,-0.5555555555555556,-5000.0,4.306849315068493
1499.0,Trek,Cross-country,0,Usé,-0.533022014676451,-799.0,4.306849315068493
5699.0,Scott,Cross-country,0,Usé,-0.4209510440428146,-2399.0,1.3041095890410959
2899.0,Scott,Trail / Enduro,0,Bon État,-0.31010693342531903,-899.0,0.3041095890410959
3299.0,Lapierre,Cross-country,0,Bon État,-0.21188238860260689,-699.0,1.3041095890410959
2999.0,Trek,Cross-country,0,Bon État,-0.4998332777592531,-1499.0,6.306849315068493
2300.0,Orbea,Cross-country,0,Bon État,-0.30434782608695654,-700.0,1.3041095890410959
4474.0,Bianchi,Cross-country,0,Très Bon État,-0.28475637013857846,-1274.0,0.3041095890410959
